index,CountryISO,AppName,AppID,AppRating,Ratings,Reviews,Downloads,Developer,Summary,inAppPurchase,Currency,Price,Category,Contains Ads,releaseDate,currentVersion,lastUpdated,appURL,website,histogram,Usage,Platform,lang
0,US,Upside Cash back on gas & food,com.upside.consumer.android,4.4,166676,85411,"5,000,000+",Upside Services Inc.,"Earn cash back every day at gas stations, grocery stores, & restaurants near you",,USD,0,Travel & Local,False,"Apr 24, 2016",5.5,16-06-2022 15:40:02,https://play.google.com/store/apps/details?id=com.upside.consumer.android&hl=en&gl=US,https://www.upside.com,"[14400, 4282, 5567, 22235, 120187]",Free,Android,en
1,US,Booking.com: Hotels and more,com.booking,4.6,3418793,74194,"500,000,000+",Booking.com Hotels & Vacation Rentals,Book your whole trip in one app.,,USD,0,Travel & Local,False,"Feb 4, 2011",Varies with device,07-07-2022 15:32:56,https://play.google.com/store/apps/details?id=com.booking&hl=en&gl=us,http://www.booking.com/apps.html?source=googleplay,"[172428, 37598, 93014, 454433, 2661285]",Free,Android,en
2,US,"Expedia: Hotels, Flights & Car",com.expedia.bookings,3.7,279939,47095,"10,000,000+",Expedia,"Book flight, car or packages. Get instant access to hotel discounts & 2x rewards",,USD,0,Travel & Local,True,"May 10, 2011",22.26.0,07-07-2022 17:05:19,https://play.google.com/store/apps/details?id=com.expedia.bookings&hl=en&gl=us,https://www.expedia.com/service/,"[67923, 10781, 11857, 25869, 163500]",Free,Android,en
3,US,Airbnb,com.airbnb.android,4.5,1315518,1151,"100,000,000+",Airbnb,The Airbnb app brings together a global community of guests and Hosts.,,JPY,0,Travel & Local,False,"Jan 17, 2012",Varies with device,30-06-2022 08:12:28,https://play.google.com/store/apps/details?id=com.airbnb.android&hl=en&gl=JP,https://www.airbnb.com/mobile,"[115138, 6649, 69643, 198780, 924607]",Free,Android,lt
4,US,"Priceline: Hotel, Flight & Car",com.priceline.android.negotiator,4.7,249909,44413,"10,000,000+",priceline.com,"Save on your next trip with exclusive deals on hotels, flights & rental cars.",,USD,0,Travel & Local,False,"Nov 10, 2010",6.5.245,08-07-2022 13:53:25,https://play.google.com/store/apps/details?id=com.priceline.android.negotiator&hl=en&gl=US,http://www.priceline.com,"[5496, 2174, 9752, 31969, 200513]",Free,Android,en
5,US,Turo   Rent the perfect car,com.relayrides.android.relayrides,4.9,159159,30568,"5,000,000+",Turo Inc.,Turo is a car sharing marketplace where travelers book cars from local hosts.,,USD,0,Travel & Local,False,"Sep 14, 2014",22.23.3,07-07-2022 04:41:21,https://play.google.com/store/apps/details?id=com.relayrides.android.relayrides&hl=en&gl=US,https://turo.com,"[1625, 288, 957, 6313, 149971]",Free,Android,en
6,US,"Hopper: Hotels, Flights & Cars",com.hopper.mountainview.play,3.9,106065,35431,"10,000,000+",Hopper Inc.,Spend less. Travel better.,,BHD,0,Travel & Local,False,"Aug 30, 2015",5.14.0,05-07-2022 22:21:38,https://play.google.com/store/apps/details?id=com.hopper.mountainview.play&hl=en&gl=BH,https://www.hopper.com,"[24491, 2968, 2988, 10049, 65567]",Free,Android,nl
7,US,Amtrak,com.amtrak.rider,4.0,28099,9931,"5,000,000+",Amtrak,"Managing your travel should be easy.  With the Amtrak app, it is.",,USD,0,Travel & Local,False,"Sep 28, 2012",5.1.4,15-04-2022 21:11:42,https://play.google.com/store/apps/details?id=com.amtrak.rider&hl=en&gl=US,http://www.amtrak.com/,"[4027, 1501, 1663, 3267, 17636]",Free,Android,id
8,US,Recreation.gov,com.bah.r1smobile,4.8,17297,4032,"1,000,000+","Booz Allen Hamilton, Inc.","Camp, RV, and Explore Outdoors",,USD,0,Travel & Local,False,"Aug 23, 2019",2.0.56,17-06-2022 20:27:53,https://play.google.com/store/apps/details?id=com.bah.r1smobile&hl=en&gl=US,https://www.recreation.gov,"[198, 98, 316, 1864, 14817]",Free,Android,en
9,US,Allegiant,com.lixar.allegiant,2.9,9998,4125,"1,000,000+",Allegiant Travel Company,The official app of Allegiant Travel & Allegiant Airlines,,USD,0,Travel & Local,False,,6.8.4,08-06-2022 19:25:41,https://play.google.com/store/apps/details?id=com.lixar.allegiant&hl=en&gl=US,https://www.allegiantair.com,"[3978, 963, 672, 880, 3501]",Free,Android,it
10,US,trivago: Compare hotel prices,com.trivago,4.4,321050,2108,"50,000,000+",trivago,Find your ideal hotel and compare prices from different websites,,VND,0,Travel & Local,False,"Dec 3, 2010",5.65.0,04-07-2022 14:00:46,https://play.google.com/store/apps/details?id=com.trivago&hl=en&gl=VN,https://www.trivago.com,"[711, 711, 711, 1422, 317352]",Free,Android,it
11,US,Disneyland,com.disney.wdpro.dlr,4.3,64440,18459,"1,000,000+",Disney,"Disneyland tickets, hours, hotels, wait times, maps, PhotoPass & more.",,USD,0,Travel & Local,False,"Aug 4, 2015",7.10,27-06-2022 19:31:53,https://play.google.com/store/apps/details?id=com.disney.wdpro.dlr&hl=en&gl=US,https://disneyland.disney.go.com/help/mobile-apps/,"[5886, 2604, 2914, 6850, 46184]",Free,Android,tr
